Node Count,Frequency
1,60178
2,24702
3,14899
4,9569
5,6376
6,4030
7,2370
8,1889
9,1741
10,1631
11,1498
12,1707
13,2255
14,4963
15,6335
16,1486
17,2773
18,4002
19,1439
20,1493
21,1001
22,575
23,477
24,390
25,416
26,419
27,402
28,371
29,442
30,464
31,505
32,425
33,437
34,424
35,407
36,346
37,377
38,308
39,251
40,191
41,181
42,212
43,167
44,177
45,184
46,180
47,191
48,232
49,256
50,209
51,281
52,242
53,228
54,201
55,196
56,213
57,185
58,182
59,215
60,269
61,311
62,348
63,296
64,270
65,224
66,241
67,222
68,201
69,174
70,181
71,144
72,125
73,98
74,143
75,140
76,140
77,165
78,154
79,167
80,204
81,238
82,288
83,337
84,304
85,234
86,316
87,232
88,195
89,166
90,189
91,191
92,173
93,185
94,194
95,218
96,218
97,247
98,225
99,223
100,211
101,189
102,222
103,245
104,273
105,277
106,273
107,273
108,301
109,278
110,232
111,265
112,251
113,295
114,302
115,376
116,409
117,413
118,425
119,398
120,405
121,373
122,353
123,369
124,360
125,281
126,271
127,260
128,337
129,350
130,327
131,426
132,441
133,430
134,440
135,483
136,560
137,624
138,614
139,679
140,727
141,751
142,890
143,1002
144,1111
145,1362
146,1493
147,1863
148,2297
149,2388
150,3194
151,3917
152,4687
153,4871
154,5211
155,3797
156,2922
157,2320
158,403
159,50
160,34
161,37
162,32
163,26
164,33
165,36
166,57
167,41
168,56
169,71
170,65
171,100
172,147
173,187
174,303
175,380
176,499
177,953
178,288
179,230
180,141
181,139
182,86
183,113
184,128
185,226
186,328
187,448
188,370
189,145
190,270
191,588
192,701
