node_index	support_pct
192	100
193	100
194	99
195	100
196	100
197	100
198	100
199	100
200	100
201	100
202	100
203	100
204	100
205	100
206	100
207	100
208	100
209	100
210	100
211	100
212	100
213	100
214	100
215	100
216	100
217	100
218	71
219	100
220	98
221	100
222	100
223	100
224	100
225	100
226	100
227	100
228	100
229	99
230	98
231	100
232	100
233	100
234	100
235	99
236	100
237	100
238	100
239	100
240	100
241	98
242	98
243	100
244	100
245	100
246	100
247	99
248	100
249	77
250	90
251	81
252	87
253	100
254	100
255	100
256	100
257	100
258	97
259	90
260	100
261	100
262	100
263	87
264	100
265	100
266	100
267	100
268	94
269	99
270	100
271	70
272	67
273	92
274	100
275	90
276	100
277	56
278	100
279	100
280	100
281	100
282	87
283	81
284	100
285	100
286	99
287	83
288	100
289	100
290	100
291	99
292	100
293	100
294	99
295	100
296	83
297	100
298	100
299	99
300	87
301	100
302	47
303	100
304	100
305	86
306	100
307	98
308	100
309	100
310	100
311	88
312	100
313	97
314	100
315	100
316	93
317	99
318	99
319	100
320	81
321	100
322	88
323	100
324	100
325	100
326	100
327	88
328	100
329	100
330	90
331	88
332	90
333	88
334	96
335	88
336	100
337	100
338	46
339	58
340	100
341	100
342	65
343	100
344	100
345	65
346	78
347	100
348	100
349	78
350	100
351	100
352	78
353	78
354	99
355	99
356	100
357	78
358	78
359	78
360	99
361	99
362	100
363	100
364	99
365	99
366	100
367	100
368	100
369	58
370	100
371	100
372	100
373	100
374	100
375	100
376	100
377	100
378	99
379	100
380	100
381	100
382	100
